month,objective_value_sum,solve_time_sum,mean_load_mean
9,8248.82118722083,883.4591779708862,17852.597799908825
7,8627.874651702941,721.8764297962189,16634.063077012026
6,9007.441329721722,1033.0953350067139,17720.106594541125
11,9195.445698375566,774.9097781181335,19749.093016727005
10,9279.728664898019,411.5646507740021,18762.202048888892
5,9435.147769433368,580.6806352138519,17161.71887239583
3,9715.529610608428,319.12069392204285,19799.17959961024
8,9865.527095586323,824.0203371047974,17396.573196310666
1,10067.79191144625,392.4119951725006,19844.714686657462
4,10177.047031463739,518.9227631092072,18338.755606952764
12,10260.019027093087,1030.0503838062286,18636.725222189867
2,11382.950500770827,549.8818361759186,21189.417399462367
