month,objective_value_sum,solve_time_sum,mean_load_mean
5,9281.356045508508,2121.88955783844,17161.71887239583
10,9405.991480973264,747.1498770713806,18762.20204888889
6,9875.371832998095,2328.9539177417755,17720.106594541125
3,9995.203851621256,473.0475380420685,19799.17959961024
12,10015.864391503874,1663.7685363292694,18636.72522218987
7,10035.18904030984,1219.1966676712036,16634.063077012026
11,10125.30213403578,1162.8500299453735,19749.093016727005
9,10191.420371102791,2415.243630886078,17852.597799908828
4,10485.55012436828,1386.0809290409088,18338.755606952764
1,10750.097627924437,1210.8900640010834,19844.714686657462
8,10840.36461720751,3144.442441701889,17396.57319631067
2,10950.97720989095,727.5559430122375,21189.417399462363
