month,objective_value_sum,solve_time_sum,mean_load_mean
7,4322.544647260361,60.70729088783264,16654.440219511875
9,4359.224178757149,67.23633193969727,17791.816560974883
6,4390.730162142841,64.55892705917358,17360.128687904853
8,4538.518737100457,64.07374477386475,17504.612026115887
5,4635.513406548586,65.76734781265259,16663.53814923839
10,4745.582754009549,59.46562623977661,18901.425610233367
11,4964.111840187134,60.11871886253357,18589.200580050572
12,5123.405762921168,71.4218099117279,17603.060005248164
1,5158.63145609932,63.130066871643066,19259.981150166317
3,5176.485951250021,64.75063300132751,19624.119623674498
4,5394.547362561502,66.5721869468689,17254.994989004288
2,5822.721875354328,84.25749588012695,20748.067610430946
