month,objective_value_sum,solve_time_sum,mean_load_mean
8,5894.286836490006,37.902687788009644,17396.57319631067
12,6121.606313012726,32.12551689147949,18636.725222189867
7,6719.831448748338,85.15556716918945,16634.063077012026
6,6763.724545214538,43.024665117263794,17720.10659454113
5,7148.494570231782,42.328760385513306,17161.71887239583
9,7262.656448520456,46.43707489967346,17852.59779990883
11,7685.101316215792,47.99940299987793,19749.093016727005
10,7777.641570216829,46.52171325683594,18762.202048888892
4,8060.188646019811,68.77223920822144,18338.755606952764
1,8165.747444189939,57.67940926551819,19844.71468665746
3,8321.45015659293,68.66264200210571,19799.17959961024
2,8881.315052237227,49.80295753479004,21189.417399462367
