month,objective_value_sum,solve_time_sum,mean_load_mean
7,7492.754718604393,207.35049533843994,16634.06307701203
4,8086.155286177254,126.25585198402405,18338.755606952764
8,8532.507382968623,237.39456295967102,17396.57319631067
9,8557.17931423007,186.14872527122498,17852.597799908825
5,8653.986773518107,275.7424736022949,17161.718872395835
10,8726.748260455322,167.0694317817688,18762.202048888892
11,8792.482030813682,209.8351550102234,19749.093016727
6,8831.79223587866,250.6565661430359,17720.10659454113
3,8941.058155265991,148.37196707725525,19799.17959961024
12,9158.680845046994,180.0336298942566,18636.725222189867
2,9336.201132915103,154.0005853176117,21189.417399462367
1,10291.411538149914,251.97530388832092,19844.71468665746
