source_path,month,termination_status,objective_value,solve_time,mean_load,reinforced_busses
/home/moritz/dev/uni/amo-team-project/data/Scenario_2023B.xlsx,8,OPTIMAL,1666.4397241705228,33.825538873672485,17396.57319631067,"B3,B38,B26,B8,B65"
/home/moritz/dev/uni/amo-team-project/data/Scenario_2023B.xlsx,9,OPTIMAL,2241.6747610216544,56.76822304725647,17852.597799908825,"B90,B26,B8,B65,B24"
/home/moritz/dev/uni/amo-team-project/data/Scenario_2023B.xlsx,10,OPTIMAL,1642.9561764246891,24.566038846969604,18762.202048888892,"B38,B39,B8,B65,B71"
/home/moritz/dev/uni/amo-team-project/data/Scenario_2023B.xlsx,11,OPTIMAL,1933.1721499115033,59.88904595375061,19749.093016727,"B38,B26,B116,B8,B81"
/home/moritz/dev/uni/amo-team-project/data/Scenario_2023B.xlsx,12,OPTIMAL,1703.0175694335687,30.76396894454956,18636.725222189867,"B105,B38,B26,B116,B8"
/home/moritz/dev/uni/amo-team-project/data/Scenario_2023C.xlsx,1,OPTIMAL,2055.3440411301963,51.62122583389282,19844.71468665746,"B115,B38,B26,B8,B65"
/home/moritz/dev/uni/amo-team-project/data/Scenario_2023C.xlsx,2,OPTIMAL,2235.666501421034,29.77832007408142,21189.417399462367,"B90,B105,B38,B26,B8"
/home/moritz/dev/uni/amo-team-project/data/Scenario_2023C.xlsx,3,OPTIMAL,1576.9762584361733,19.930089950561523,19799.17959961024,"B90,B38,B26,B8,B65"
/home/moritz/dev/uni/amo-team-project/data/Scenario_2023C.xlsx,4,OPTIMAL,1777.790510212427,53.422406911849976,18338.755606952764,"B38,B26,B8,B65,B24"
/home/moritz/dev/uni/amo-team-project/data/Scenario_2023C.xlsx,5,OPTIMAL,1870.8864618168973,40.275370836257935,17161.718872395835,"B90,B38,B26,B8,B4"
/home/moritz/dev/uni/amo-team-project/data/Scenario_2023C.xlsx,6,OPTIMAL,2107.995767483323,57.050050020217896,17720.10659454113,"B38,B30,B8,B4,B65"
/home/moritz/dev/uni/amo-team-project/data/Scenario_2023C.xlsx,7,OPTIMAL,1566.6956286648192,25.293560028076172,16634.06307701203,"B90,B38,B26,B8,B81"
/home/moritz/dev/uni/amo-team-project/data/Scenario_2023C.xlsx,8,OPTIMAL,1995.736956094739,85.86940598487854,17396.57319631067,"B116,B8,B4,B65,B35"
/home/moritz/dev/uni/amo-team-project/data/Scenario_2023C.xlsx,9,OPTIMAL,1523.4897172666813,23.065773963928223,17852.597799908825,"B90,B38,B26,B8,B91"
/home/moritz/dev/uni/amo-team-project/data/Scenario_2023C.xlsx,10,OPTIMAL,2155.638525579744,65.97412490844727,18762.202048888892,"B115,B38,B26,B8,B4"
/home/moritz/dev/uni/amo-team-project/data/Scenario_2023C.xlsx,11,OPTIMAL,1915.5483222864423,56.72420310974121,19749.093016727,"B90,B26,B8,B35,B81"
/home/moritz/dev/uni/amo-team-project/data/Scenario_2023C.xlsx,12,OPTIMAL,2029.8285550865696,41.781533002853394,18636.725222189867,"B90,B38,B26,B8,B81"
