month,objective_value_sum,solve_time_sum,mean_load_mean
8,1785.4559334324724,21.353343725204468,17396.57319631067
12,2250.217630952979,35.400235414505005,18636.725222189867
1,2646.657133680954,61.81476593017578,19844.71468665746
6,2713.532118751168,45.33515524864197,17720.10659454113
9,2930.4543036135315,74.08520221710205,17852.59779990883
7,2984.503883700215,77.44271445274353,16634.063077012026
5,3018.331096929347,44.47008991241455,17161.71887239583
2,3040.7153918421996,34.976481914520264,21189.417399462367
3,3046.8031748515214,39.99786710739136,19799.17959961024
10,3161.4236546398442,39.63156867027283,18762.202048888892
4,3319.3285874583344,51.58286213874817,18338.755606952764
11,3502.263851808104,49.825430154800415,19749.093016727005
